 Title Location eBaySite StartDateTime EndDateTime Category ListingType ItemCondition ListingSold ShippingLocations ShippingCost EndingPrice Currency
31 "Teenage Mutant Ninja Turtles 2 Famicom/NES JP GAME" Japan EBAY-US 2016-03-30T03:35:55.000Z 2016-04-04T03:35:55.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 7.32 GBP
32 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-03-30T01:59:43.000Z 2016-04-04T01:59:43.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 3.31 GBP
33 "TMNT Turtles Teenage Mutant Ninja game for NES Nintendo cart onl" "Amersham,United Kingdom" EBAY-GB 2016-03-27T16:09:00.000Z 2016-04-03T16:09:00.000Z Games Auction 5000 EndedWithSales GB 3.5 3.2 GBP
34 "TEENAGE MUTANT NINJA TURTLES (Nintendo NES)" "Leicester,United Kingdom" EBAY-GB 2016-03-03T10:29:09.000Z 2016-04-02T10:29:09.000Z Games FixedPrice 6000 EndedWithoutSales GB 0.0 14.0 GBP
35 "TEENAGE MUTANT HERO TURTLES - Nintendo Entertainment System (NES) Game (NINJA)" "Newport,United Kingdom" EBAY-GB 2016-03-28T23:45:47.000Z 2016-03-31T23:45:47.000Z Games Auction 4000 EndedWithSales GB 1.26 4.2 GBP
36 "Nintendo Nes Teenage Mutant Ninja Turtles Game" "Swindon,United Kingdom" EBAY-GB 2016-03-27T15:15:56.000Z 2016-03-30T15:15:56.000Z Games Auction 5000 EndedWithSales GB 2.99 6.0 GBP
37 "Ninja Turtles 2 FRIDGE MAGNET (2 x 3 inches) video game box nes teenage mutant" USA EBAY-US 2016-03-20T23:45:22.000Z 2016-03-30T00:47:04.000Z Magnets StoreInventory 1000 EndedWithSales Worldwide 8.95 3.45 GBP
38 "Ninja Turtles Nes FRIDGE MAGNET (2 x 3 inches) video game box teenage mutant" USA EBAY-US 2016-03-23T01:31:45.000Z 2016-03-30T00:47:04.000Z Magnets StoreInventory 1000 EndedWithSales Worldwide 8.95 3.45 GBP
39 "Teenage Mutant Ninja Turtles NES" "London,United Kingdom" EBAY-GB 2016-03-03T16:34:49.000Z 2016-03-29T19:49:47.000Z Games StoreInventory 6000 EndedWithoutSales GB 1.26 29.0 GBP
40 "Teenage mutant ninja turtles arcade NES game complete" "Bath,United Kingdom" EBAY-GB 2016-03-27T21:47:30.000Z 2016-03-29T13:17:28.000Z Games FixedPrice 5000 EndedWithSales GB 0.0 30.0 GBP
41 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-03-24T04:16:30.000Z 2016-03-29T04:16:30.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 2.23 GBP
