Title,Company,Rarity,Price ($)
Romance of the Three Kingdoms II,Koei,B+,7
Roundball,Mindscape,B-,3
Rush N' Attack,Konami,D,3
Rygar,Tecmo,C,7
SCAT,Natsume,B,4
Secret Scout,Color Dreams,A,48+ ?
Section Z,Capcom,C,3
Seicross,FCI,B-,3
Sesame Street 1-2-3,Hi Tech,C+,3
Sesame Street 1-2-3/A-B-C,Hi Tech,B,7
Sesame Street A-B-C,Hi Tech,C+,3
Sesame Street Countdown,Hi Tech,B+,5
Shadow of the Ninja,Natsume,B,3
Shadowgate,Kemco,C+,4
Shatterhand,Jaleco,B-,2
Shingen the Ruler,Hot B,C,2
Shinobi,Tengen,C+,5
Shockwave,American Game Carts,Inc B,3
Shooting Range (Gun Optional),Bandai,B,4
Short Order/Eggsplode (Power Pad),Nintendo,B+,6
Side Pocket,Data East,B-,4
Silent Assault,Color Dreams,B,4
Silent Service,Ultra,C-,3
Silk Worm,American Sammy,B+,5
Silver Surfer,Arcadia,C+,3
Bartman Meets Radioactive Man,Acclaim,B,5
Bart vs The Space Mutants,Acclaim,D,4
Bart vs the World,Acclaim,C,4
Skate or Die,Ultra,D,2
Skate or Die 2,Electronic Arts,B-,4
Ski or Die,Ultra,B,4
Skull and Crossbones,Tengen,B,4
Sky Kid,Sunsoft,B,3
Sky Shark,Taito,D,2
Slalom,Nintendo,B-,3
Smash TV,Acclaim,C+,2
Snake Rattle and Roll,Nintendo,C+,3
Snake's Revenge,Ultra,B-,5
Snoopy's Silly Sports,Kemco,B,5
Snow Brothers,Capcom,A-,35
Soccer,Nintendo,D,2
Solar Jetman,Tradewest,C,2
Solitaire,American Video,A-,8
Solomon's Key,Tecmo,C+,4
Solstice,CSG Imagesoft,C-,2
Space Shuttle,Absolute,B,4
Spelunker,Broderbund,B,3
Spiderman: Sinister Six,LJN,B-,4
Spiritual Warfare,Wisdom Tree,B+,5
Spot,Arcadia,B,5
Spy Hunter,Sunsoft,C-,3
Spy vs. Spy,Kemco,B,7
Sqoon,Irem,B+,4
Stack Up,Nintendo,A-,10
Stadium Events (Power Pad),Bandai,A,275
Stanley,Electro Brain,B,3
Star Force,Tecmo,C+,4
Star Soldier,Taxan,C,3
Star Trek: 25th Anniversary,Ultra,B,6
Star Trek: The Next Generation,Absolute,B+,8
Star Tropics,Nintendo,C-,4
Star Voyager,Acclaim,C+,3
Star Wars,JVC,B-,7
Starship Hector,Hudson,B-,3
Stealth,Activision,C+,2
Stinger,Konami,B-,3
Street Cop (Power Pad),Bandai,A-,10
Street Fighter 2010,Capcom,B-,4
Strider,Capcom,C,4
Stunt Kids,Camerica,A-,6
Sunday Funday,Wisdom Tree,A-,17
Super C,Konami,C,8
Super Cars,Electro Brain,B+,9
Super Dodge Ball,Imagesoft,C,12
Super Glove Ball,Mattel,C,3
Super Mario Bros.,Nintendo,F,1
Super Mario Bros. 2,Nintendo,D,5
Super Mario Bros. 3,Nintendo,D,5
Super Mario/Duck Hunt,Nintendo,F,1
Super Mario/Duck Hunt/Track Meet,Nintendo,C,1
Super Pitfall,Activision,C+,6
Super Spike V'Ball,Nintendo,C-,3
Super Spike V'Ball/World Cup Soccer,Nintendo,B-,4
Super Sprint,Tengen,C+,3
Super Spy Hunter,Sunsoft,B+,10
Super Team Games (Power Pad),Nintendo,C-,4
Superman,Kemco,B,5
Swamp Thing,T*HQ,B+,4
Sword Master,Activision,A-,5
Swords & Serpents,Acclaim,B,4
T&C Surf Design,LJN,E,3
T&C Surf Design 2: Thrilla's Safari,LJN,B,3
Taboo: The Sixth Sense,Tradewest,C+,2
Tag Team Wrestling,Data East,C,3
Tagin' Dragon,Bunch Games,A-,8
Talespin,Capcom,B-,3
Target: Renegade,Taito,C+,3
Tecmo Baseball,Tecmo,C,3
Tecmo Bowl,Tecmo,E,6
Tecmo Cup Soccer,Tecmo,B+,4
Tecmo NBA Basketball,Tecmo,C+,2
Tecmo Super Bowl,Tecmo,C-,7
Tecmo World Wrestling,Tecmo,C+,3
Teenage Mutant Ninja Turtles,Ultra,E,3
Teenage Mutant Ninja Turtles II,Ultra,D,4
Teenage Mutant Ninja Turtles 3,Konami,B-,5
T.M.N.T. Tournament Fighters,Konami,A-,18
Tennis,Nintendo,D,2
"Terminator, The",Mindscape,B+,3
Terminator 2: Judgement Day,LJN,B-,2
Terra Cresta,Vic Tokai,B+,3
Tetris,Nintendo,E,4
Tetris,Tengen,A-,41
Tetris 2,Nintendo,C+,4
"Three Stooges, The",Activision,C+,4
Thunder and Lightning,Romstar,B+,5
Thunderbirds,Activision,B,4
Thundercade,American Sammy,B-,3
Tiger Heli,Acclaim,C,2
Tiles of Fate,American Video,B+,4
Time Lord,Milton Bradley,C,2
Times of Lore,Toho,B+,5
Tiny Toon Adventures,Konami,C+,5
Tiny Toon Adventures 2,Konami,B,4
Tiny Toon Cartoon Workshop,Konami,B+,6
To The Earth (Gun Required),Nintendo,C,2
Toki,Taito,B+,4
Tom and Jerry,Hi Tech,B+,5
Tombs and Treasure,Infocom,A-,5
Toobin',Tengen,B+,8
Top Gun,Konami,E,2
Top Gun 2,Konami,C-,3
Total Recall,Acclaim,D,2
Totally Rad,Jaleco,B-,2
Touchdown Fever,SNK,B+,2
Toxic Crusader,Bandai,B+,4
Track and Field,Konami,C+,5
Track and Field 2,Konami,C,4
Treasure Master,American Softworks,B+,4
Trick Shooting (Gun Required),Nintendo,B-,5
Trog,Acclaim,B-,4
Trojan,Capcom,C,2
Trolls on Treasure Island,American Video,A-,4
Twin Cobra,American Sammy,C+,3
Twin Eagle,Romstar,B,3
Ultima: Exodus,FCI,C-,3
Ultima: Quest of the Avatar,FCI,B,6
Ultima: Warrior of Destiny,FCI,B+,17
Ultimate Air Combat,Activision,A-,8
Ultimate Basketball,American Sammy,C+,2
Ultimate League Soccer,American Video,A-,4
Ultimate Stuntman,Camerica,C+,2
Uncharted Waters,Koei,A-,9
Uninvited,Kemco,B+,9
"Untouchables, The",Ocean,B,4
Urban Champion,Nintendo,D,2
Vegas Dream,HAL,B,4
Venice Beach Volleyball,American Video,B+,4
Vice Project Doom,American Sammy,C+,2
Videomation,T*HQ,B,3
Vindicators,Tengen,C,2
